#N	E	    wikipedia:	N	E
2	0.5000000000000002	2	0.5
3	1.7320508077754748	3	1.732050808
4	3.674234614197278	4	3.674234614
5	6.474691494742929	5	6.474691495
6	9.985281374238786	6	9.985281374
7	14.45297741425719	7	14.452977414
8	19.67528786123664	8	19.67587861
9	25.759986531334473	9	26.759986531
10	32.71694946022555	10	32.716949460
11	40.59645050822963	11	40.596450510
12	49.165253057690364	12	49.165253058
13	58.85323061175527	13	58.853230612
14	69.30636329671958	14	69.306363297
15	80.6702441143932	15	80.670244114
16	92.91165530264877	16	92.911655302
17	106.05040482875661	17	106.050404829
18	120.08446744753118	18	120.084467447
19	135.08946755692094	19	135.089467557
20	150.8815683338002	20	150.881568334
21	167.64162239939535	21	167.641622399
22	185.2875361493372	22	185.287536149
23	203.93019066299894	23	203.930190663
24	223.34707405191307	24	223.347074052
25	243.8127602988611	25	243.812760299
26	265.13332631772715	26	265.133326317
27	287.30261503310055	27	287.302615033
28	310.4915423582647	28	310.491542358
29	334.63443992054783	29	334.634439920
30	359.60394590433464	30	359.603945904
