čas	co2	co2 - linearni$
1996.46	364.97	2.357250328547707
1996.54	363.65	0.9274650137635945
1996.61	361.49	-1.3285971366722151
1996.69	359.46	-3.4683824514568187
1996.77	359.6	-3.4381677662408947
1996.85	360.76	-2.387953081024534
1996.92	362.33	-0.9140152314607803
1997.0	363.18	-0.17380054624482
1997.08	364.0	0.536414138971395
1997.15	364.57	1.0103519885356036
1997.23	366.35	2.6805666737514002
1997.31	366.79	3.010781358967506
1997.38	366.79	2.9147192085310962
1997.46	365.62	1.6349338937470748
1997.54	364.47	0.37514857896348985
1997.61	362.51	-1.680913571472047
1997.69	360.19	-4.110698886256614
1997.77	360.77	-3.6404842010406355
1997.85	362.43	-2.0902695158247298
1997.92	364.28	-0.3363316662607758
1998.0	365.32	0.5938830189556938
1998.08	366.15	1.3140977041716724
1998.15	367.31	2.378035553735117
1998.23	368.61	3.56825023895135
1998.31	369.29	4.1384649241676925
1998.38	369.29	4.042402773731283
1998.46	368.87	3.512617458947261
1998.54	367.64	2.1728321441632943
1998.61	365.77	0.2067699937274483
1998.69	363.9	-1.7730153210563913
1998.77	364.23	-1.5528006358404127
1998.85	365.46	-0.43258595062434324
1998.92	366.97	0.9813518989394652
1999.0	368.15	2.0515665841558075
1999.08	368.87	2.6617812693716587
1999.15	369.59	3.2857191189355035
1999.23	371.14	4.725933804151282
1999.31	371.0	4.476148489367461
1999.38	371.0	4.3800863389315055
1999.46	370.35	3.620301024147466
1999.54	369.27	2.43051570936359
1999.61	366.94	0.0044535589277074905
1999.69	364.63	-2.4153317558561866
1999.77	365.12	-2.0351170706403536
1999.85	366.67	-0.5949023854241204
1999.92	368.01	0.6490354641391605
2000.0	369.14	1.669250149355321
2000.08	369.46	1.879464834571536
2000.15	370.52	2.843402684135526
2000.23	371.66	3.87361736935145
2000.31	371.82	3.9238320545678107
2000.38	371.82	3.827769904131401
2000.46	371.7	3.5979845893475613
2000.54	370.12	1.9081992745636853
2000.61	368.12	-0.1878628758722698
2000.69	366.62	-1.7976481906566733
2000.77	366.73	-1.7974335054404946
2000.85	368.29	-0.34721882022404316
2000.92	369.53	0.7967190293393287
2001.0	370.28	1.43693371455538
2001.08	371.5	2.547148399771686
2001.15	372.12	3.0710862493356217
2001.23	372.87	3.711300934551673
2001.31	374.02	4.751515619767815
2001.38	374.02	4.655453469331405
2001.46	373.3	3.8256681545476567
2001.54	371.62	2.035882839763417
2001.61	369.55	-0.13017931067179234
2001.69	367.96	-1.8299646254563413
2001.77	368.09	-1.8097499402401809
2001.85	369.68	-0.3295352550244388
2001.92	371.24	1.1344025945400062
2002.0	372.43	2.2146172797556574
2002.08	373.09	2.764831964972018
2002.15	373.52	3.0987698145354443
2002.23	374.86	4.328984499751641
