omega	$N=5120$
0.000000000000000000e+00	1.916549096071149538e-01
1.953888237592809826e-04	1.916712492767964071e-01
3.907776475185619652e-04	1.917202747968062004e-01
5.861664712778429749e-04	1.918020057004189149e-01
7.815552950371239304e-04	1.919164745443466547e-01
9.769441187964049943e-04	1.920637269105774370e-01
1.172332942555685950e-03	1.922438214088637298e-01
1.367721766314966905e-03	1.924568296797737610e-01
1.563110590074247861e-03	1.927028363981968806e-01
1.758499413833528816e-03	1.929819392771642272e-01
1.953888237592809989e-03	1.932942490718228268e-01
2.149277061352090727e-03	1.936398895833774392e-01
2.344665885111371900e-03	1.940189976627774149e-01
2.540054708870652638e-03	1.944317232139135543e-01
2.735443532629933810e-03	1.948782291960476365e-01
2.930832356389214549e-03	1.953586916251761063e-01
3.126221180148495721e-03	1.958732995739921046e-01
3.321610003907776894e-03	1.964222551700923469e-01
3.516998827667057632e-03	1.970057735920231201e-01
3.712387651426338805e-03	1.976240830627462031e-01
3.907776475185619977e-03	1.982774248400543671e-01
4.103165298944900716e-03	1.989660532034421558e-01
4.298554122704181454e-03	1.996902354368943477e-01
4.493942946463462193e-03	2.004502518070115646e-01
4.689331770222743799e-03	2.012463955358655132e-01
4.884720593982024538e-03	2.020789727679144221e-01
5.080109417741305276e-03	2.029483025302869503e-01
5.275498241500586882e-03	2.038547166856777559e-01
5.470887065259867621e-03	2.047985598770614424e-01
5.666275889019148360e-03	2.057801894633820572e-01
5.861664712778429098e-03	2.067999754453157535e-01
6.057053536537710704e-03	2.078583003801611484e-01
6.252442360296991443e-03	2.089555592848461041e-01
6.447831184056272182e-03	2.100921595259892249e-01
6.643220007815553788e-03	2.112685206958924977e-01
6.838608831574834526e-03	2.124850744732746655e-01
7.033997655334115265e-03	2.137422644674974725e-01
7.229386479093396004e-03	2.150405460449677508e-01
7.424775302852677610e-03	2.163803861363244319e-01
7.620164126611958348e-03	2.177622630229548717e-01
7.815552950371239954e-03	2.191866661013109618e-01
8.010941774130520693e-03	2.206540956234163409e-01
8.206330597889801431e-03	2.221650624118813588e-01
8.401719421649082170e-03	2.237200875476612616e-01
8.597108245408362909e-03	2.253197020287136532e-01
8.792497069167643647e-03	2.269644463976316084e-01
8.987885892926924386e-03	2.286548703362324686e-01
9.183274716686206859e-03	2.303915322250139619e-01
9.378663540445487598e-03	2.321749986652864861e-01
9.574052364204768337e-03	2.340058439617147268e-01
9.769441187964049075e-03	2.358846495629079165e-01
9.964830011723329814e-03	2.378120034576105546e-01
1.016021883548261055e-02	2.397884995239623618e-01
1.035560765924189129e-02	2.418147368292041521e-01
1.055099648300117376e-02	2.438913188771215934e-01
1.074638530676045450e-02	2.460188528004449982e-01
1.094177413051973524e-02	2.481979484953252824e-01
1.113716295427901598e-02	2.504292176949490800e-01
1.133255177803829672e-02	2.527132729792641030e-01
1.152794060179757746e-02	2.550507267177386517e-01
1.172332942555685820e-02	2.574421899419928050e-01
1.191871824931614067e-02	2.598882711451089844e-01
1.211410707307542141e-02	2.623895750043664377e-01
1.230949589683470215e-02	2.649467010241154941e-01
1.250488472059398289e-02	2.675602420954769634e-01
1.270027354435326362e-02	2.702307829695438923e-01
1.289566236811254436e-02	2.729588986407612272e-01
1.309105119187182510e-02	2.757451526371706430e-01
1.328644001563110758e-02	2.785900952142503773e-01
1.348182883939038831e-02	2.814942614491282580e-01
1.367721766314966905e-02	2.844581692320144461e-01
1.387260648690894979e-02	2.874823171518137710e-01
1.406799531066823053e-02	2.905671822729831155e-01
1.426338413442751127e-02	2.937132178008672323e-01
1.445877295818679201e-02	2.969208506329147346e-01
1.465416178194607448e-02	3.001904787934028263e-01
1.484955060570535522e-02	3.035224687495398088e-01
1.504493942946463596e-02	3.069171526071182710e-01
1.524032825322391670e-02	3.103748251842015082e-01
1.543571707698319743e-02	3.138957409617249006e-01
1.563110590074247991e-02	3.174801109102851626e-01
1.582649472450176065e-02	3.211280991929028605e-01
1.602188354826104139e-02	3.248398197440112711e-01
1.621727237202032212e-02	3.286153327255610934e-01
1.641266119577960286e-02	3.324546408617156112e-01
1.660805001953888360e-02	3.363576856543421534e-01
1.680343884329816434e-02	3.403243434822397218e-01
1.699882766705744508e-02	3.443544215878747150e-01
1.719421649081672582e-02	3.484476539562873509e-01
1.738960531457600656e-02	3.526036970917684754e-01
1.758499413833528729e-02	3.568221256989526080e-01
1.778038296209456803e-02	3.611024282760413318e-01
1.797577178585384877e-02	3.654440026290442511e-01
1.817116060961313298e-02	3.698461513171475978e-01
1.836654943337241372e-02	3.743080770406053692e-01
