$p=5$	$p=10$	$p=15$	$p=20$	$p=25$	$\text{FFT + Hann}$
11226.603873940889	9706499.650322787	6941118.226590334	3886441.8774180557	19876595.1587879	6598327119.0714855
11208.475936154646	1410866.0803603204	3352379.869187664	3005026.542551466	3895359.69516447	1327862844.2249825
11154.491532456565	174173.1100013278	899417.6926872557	1523934.667251173	564158.1654458119	198056.12895994983
11065.829545891478	40677.07598000379	268655.73908657813	611926.3077537391	144105.97267434536	7042.287127428378
10944.391953013856	13885.972144288751	96999.89202715369	227630.83183936257	53621.91126927608	2536.2716357322347
10792.715164867104	5988.673345265193	40783.096745126066	85867.06011863881	25450.39988430784	3398.7403126525314
10613.856324320495	3021.179901203044	19211.179290929354	34244.34497334365	14283.774174141776	1275.9363268375553
10411.263375117118	1705.700495866837	9864.399210511809	14657.646135672074	9041.77869928744	192.02608399556823
10188.638269026309	1048.5439822844796	5419.84078129214	6749.715693027867	6243.472438034103	892.5111998692287
9949.80223679676	689.2329271387009	3146.6581100174	3333.577418172653	4578.58359039016	762.2614601735753
9698.570792487217	478.415163163495	1913.7640841554069	1756.8210166900633	3481.9884417596127	65.28849838097227
9438.644334974777	347.5382014339859	1211.7891764956423	982.5200917455182	2685.769322100427	293.7474601018144
9173.518151757928	262.4677173769461	795.2699927414577	580.0553805205262	2059.3188964894953	1112.7640203363017
8906.413593111141	205.04255173099804	539.1254634769815	359.79316969206707	1544.6361586889666	877.2200284786838
8640.230383817907	165.05418786826556	376.5570108776084	233.49953483274598	1122.6047361529154	71.57630571556378
8377.518611419575	136.49318907287912	270.4310358895208	157.9822865462005	789.2124513591309	30.680713122992074
8120.467931938973	115.6810255199078	199.37182049640816	111.09221842862334	539.6502151883141	47.89573561593565
7870.910958238384	100.2903895669312	150.68981685541775	80.97933525986943	362.57180367746025	171.42858890549195
7630.337588174691	88.80792533387933	116.64199376832187	61.054424982621136	242.19063058350602	201.30684073115611
7399.917109579016	80.22805936352205	92.38520858655654	47.52285434664916	162.63036648965473	94.71674144656117
7180.525199379435	73.87278346709263	74.82158018944956	38.12897294399716	110.78259279264759	61.94077341205889
6972.773333118712	69.28280020625874	61.929163039250106	31.493389932373844	77.07755757009014	147.93741132226313
6777.03857055358	66.1506556511498	52.3643620845225	26.751475332820217	55.03653988756049	142.44515525329126
6593.492131854522	64.27960784680587	45.22054155188042	23.350231310996847	40.46045715353955	49.44739798974162
6422.125593165795	63.559113960876154	39.87862102775952	20.93115938770122	30.687478395101394	16.014061647397877
6262.773891047973	63.95190986088074	35.91313009375125	19.261326385438732	24.044003045745164	11.553331622820991
6115.134625898313	65.49020456968718	33.0325220053703	18.192376710491963	19.477390178251472	27.6052502432963
