$p=5$	$p=10$	$p=15$	$p=20$	$p=25$	$\text{FFT + Hann}$
0.43206489211589866	1.878831501477016	4.426513880164962	2.3542025292082456	0.02373417905753572	0.1602597541427771
0.4441095959585834	0.8802501017514005	2.1063107260974427	1.29169311530133	0.008668593521225308	0.054163765627893774
0.4571165409010062	0.4675938699803691	1.1414032863070567	0.8188096484965248	0.003702364486721904	0.02195714999611087
0.47116240779464774	0.2723399460071348	0.6812139299345072	0.5799401144036469	0.001786018194013689	0.010124289156321426
0.48633147790670755	0.17024595407889676	0.43835810042583717	0.4491615443235156	0.000951557215318393	0.0051388903901086885
0.5027164830443316	0.11259396172118463	0.29981598385117947	0.3746824339306598	0.0005514080475708022	0.0028106719962920105
0.5204195556554726	0.07798448534275676	0.21576099334348747	0.3327003786092951	0.0003437690316314943	0.00163143917438781
0.5395532910944141	0.056145977301406885	0.16217288674400077	0.31122527755831675	0.00022874690767451912	0.0009940211091120016
0.5602419356002599	0.04178345428407991	0.1266086518679385	0.3035214573288236	0.00016149841599955698	0.0006305555140371883
0.582622714990937	0.032002139377768274	0.10223024782176529	0.3049644333669184	0.00012044499854976566	0.0004138698687831298
0.6068473206065431	0.02513950269795028	0.0850903428841938	0.3111911382168696	9.458046912330455e-05	0.0002796066924729932
0.6330835706150244	0.020199806788153477	0.07281453259391824	0.3169507878451857	7.80180750101437e-05	0.00019356661287749512
0.6615172663746415	0.016564717262645995	0.06392493980653055	0.31594790319075283	6.749963265793347e-05	0.00013696561805065163
0.6923542650631673	0.013837982364998407	0.05747620172758335	0.3023527408408251	6.120093770061333e-05	9.876916300109595e-05
0.7258227911343615	0.011758559338749678	0.05285152967435862	0.273748464569607	5.8142691101407764e-05	7.239371390603373e-05
0.7621760102079387	0.010150237302477355	0.04964455148723427	0.23320548786518316	5.7907960612874706e-05	5.385713008952259e-05
0.8016948895456856	0.008891477420498535	0.04758903454958078	0.18790898083845023	6.053865587381618e-05	4.060589615494738e-05
0.8446913690471524	0.007896837634959296	0.04651639014298022	0.14518674023889927	6.657189702182764e-05	3.101201109916185e-05
0.8915118653536575	0.007105238937777773	0.04632994944866653	0.10946973241894423	7.724514035344493e-05	2.3989420871346316e-05
0.9425411286977766	0.006472383479199423	0.04698982400956228	0.08193475929715924	9.499553521250899e-05	1.8797751010296354e-05
0.9982064669403595	0.005965755270814407	0.048504809796985834	0.06174606099054809	0.00012459045320156273	1.4916992437304596e-05
1.0589823429641982	0.005561264219955882	0.050929281184759215	0.04735156518764579	0.0001757907844070799	1.2038252359785249e-05
1.1253953391618539	0.0052409581961130915	0.05436385008407552	0.0372294896587787	0.0002701586623188249	9.898970457656068e-06
1.1980294647786602	0.004991443413204719	0.058958970516474335	0.030162578146478533	0.0004605027436244932	8.3551823151918e-06
1.2775317565957591	0.004802784100648074	0.0649207279697982	0.025267826586660557	0.0008950546450796085	7.257351240079954e-06
1.3646180886707684	0.004667733430639485	0.07251773257441928	0.0219399506311354	0.002074045326241817	6.531633135198675e-06
1.4600790599047848	0.0045811989808752784	0.08208720811683523	0.01978289803533805	0.006187365836057837	6.1437660291887256e-06
1.5647857658383528	0.004539879294447706	0.09403683696404123	0.018555454416415828	0.027357679859019626	6.02676329887441e-06
1.6796951795071968	0.004542030303765139	0.1088364949281992	0.018136964342391457	0.22047990983874005	6.19139853279215e-06
1.8058547611325515	0.00458733577354346	0.12699073625520554	0.018513918789853694	1.1171051727941566	6.614809330372074e-06
1.9444057832970407	0.004676867193111027	0.148979545740072	0.01979010143645288	0.19049557302978104	7.336104753042712e-06
2.0965846925505227	0.004813127519756373	0.17515379619882132	0.022230437786905134	0.029786672673797587	8.377807580408333e-06
2.2637216263227926	0.005000181162419995	0.20557772988271744	0.026365590719974807	0.008340998196043834	9.754263838706444e-06
2.4472349636325705	0.005243880698621938	0.23983011708691268	0.03322492348456157	0.003396826315463051	1.158917401501887e-05
2.648620510895385	0.0055522101249534115	0.2768123000453448	0.044873092061656655	0.0017691491114846605	1.3981362613121649e-05
2.869433617554735	0.0059357762262709736	0.31465597011894525	0.06574212126081219	0.001099288785078657	1.6972251171920762e-05
3.1112621968950127	0.006408495604994838	0.3508443238577089	0.10629568278006328	0.0007832675693736253	2.082118440767847e-05
3.375688325328195	0.00698854748242786	0.38261175431489985	0.19451531094955865	0.0006250441361710672	2.57939923371444e-05
3.664235857388134	0.007699695264401791	0.40755495934732183	0.41832075720428497	0.0005507585456367851	3.215778903202843e-05
3.9783013964459975	0.008573128817569727	0.42423880910888867	1.1167023391595325	0.0005316018580068199	4.038846854774232e-05
4.319066104481169	0.00965005362257405	0.432537261071173	3.9143834382713893	0.0005601259815120159	5.112685984817876e-05
4.68738635066315	0.010985367400012751	0.43357510355056417	15.589123026725256	0.0006445311592474872	6.526204311460706e-05
5.083662247471083	0.012652944189609302	0.42934515463403483	22.75062930049905	0.0008134740413276537	8.410677421017963e-05
5.50768487658853	0.014753331952936603	0.42221183294444575	6.820352974579547	0.0011362718140590857	0.00010943745642270837
5.9584656194040635	0.01742513441519128	0.4145025048855909	1.6916232684692736	0.0017836813599415202	0.00014395940690631976
6.434054565306028	0.02086211735201996	0.4082857700178845	0.5482554283951796	0.0032268035292067894	0.0001918604784878828
6.931359421365727	0.025339380964151087	0.4053350681454534	0.22704155697766623	0.007016152030904832	0.0002591453778181253
7.4459814061237894	0.03125419197989404	0.4072274284688823	0.1131410771395248	0.019745332958762418	0.00035550343437247946
7.9720896767888565	0.03919106441187349	0.41552812379690074	0.06494477942215313	0.08272049883284215	0.0004964198671432904
8.502359940366004	0.05002796267611936	0.43203910941307855	0.041718769713182835	0.6579734750072903	0.0007070886959914097
9.028004720332504	0.06511419063458228	0.4591255241550144	0.029425290981779317	4.839438701593773	0.001030529866968857
9.538920801784712	0.08657713306685083	0.5001781771267851	0.022503691352053226	0.8797058945336732	0.0015410458414960976
10.023972333647011	0.1178686828908197	0.5603337999666306	0.01850901728202391	0.12264140055240419	0.0023754084154012046
10.471415256449657	0.16477510305097823	0.6476913004015409	0.016291274440471126	0.033088353080065976	0.003793733762542514
10.869450673701026	0.23736325912840475	0.7755037911432452	0.015308131268963864	0.0135575781304857	0.00631622639857278
11.20687360401268	0.3539169616051053	0.9663669819557957	0.015353983288387024	0.007320360067019093	0.01105970066715937
