## St. plasti    Natančnost treninga     Natančnost testa
1   0.9259666666666667	    0.9277
2   0.9510333333333333	    0.9458
3   0.9535666666666667	    0.9469
4   0.9495333333333333	    0.9423
5   0.9230833333333334	    0.9226
6   0.5878		    0.5977
7   0.09751666666666667	    0.0974
8   0.09751666666666667	    0.0974
9   0.09751666666666667	    0.0974
10  0.09751666666666667	    0.0974
